Brand,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,Price
Audi,crossover,0,3,Diesel,yes,2016,Q7,80999
Toyota,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,80000
BMW,crossover,1,3,Diesel,yes,2014,X6,77777
BMW,sedan,8,4.4,Petrol,yes,2014,750,77777
BMW,sedan,8,4.4,Petrol,yes,2014,750,77777
BMW,crossover,1,3,Petrol,yes,2016,X6,77500
BMW,crossover,1,3,Petrol,yes,2016,X6,77500
BMW,other,64,4.4,Petrol,yes,2012,M6,77000
Toyota,crossover,29,4.5,Diesel,yes,2014,Land Cruiser 200,76500
BMW,sedan,30,4.4,Petrol,yes,2014,M5,75555
BMW,sedan,30,4.4,Petrol,yes,2014,550,75555
BMW,sedan,30,4.4,Petrol,yes,2014,550,75555
Mercedes-Benz,van,14,2.2,Diesel,yes,2015,V 250,75500
Toyota,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,75500
BMW,crossover,16,3,Diesel,yes,2015,X6,75000
BMW,crossover,20,3,Diesel,yes,2014,X5,75000
Audi,crossover,0,3,Diesel,yes,2015,Q7,75000
Toyota,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,74999
Mercedes-Benz,crossover,1,2.2,Diesel,yes,2016,GLE-Class,74999
Mercedes-Benz,other,32,6.3,Petrol,yes,2007,CL 63 AMG,74900
Volkswagen,crossover,0,3,Diesel,yes,2015,Touareg,74500
Volkswagen,crossover,1,3,Diesel,yes,2015,Touareg,74000
BMW,sedan,57,4.4,Petrol,yes,2013,M5,73900
Toyota,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,73900
Audi,sedan,53,6.3,Petrol,yes,2013,A8,73500
BMW,crossover,16,3,Diesel,yes,2015,X6,72900
Mercedes-Benz,van,42,2.2,Diesel,yes,2014,V 250,72700
Volkswagen,crossover,0,3,Diesel,yes,2016,Touareg,72000
Toyota,crossover,40,4.5,Diesel,yes,2014,Land Cruiser 200,72000
Audi,sedan,55,6.3,Petrol,yes,2012,A8,72000
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLE-Class,71999
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLE-Class,71999
BMW,crossover,19,2.5,Diesel,yes,2015,X5,71500
Volkswagen,crossover,0,3,Diesel,yes,2016,Touareg,71138
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLE-Class,70999
Mercedes-Benz,crossover,99,5.5,Petrol,yes,2009,G 55 AMG,70500
Mercedes-Benz,other,21,6,Petrol,yes,2008,S 600,70000
BMW,sedan,16,3,Diesel,yes,2014,730,70000
BMW,crossover,71,4.4,Petrol,yes,2011,X5 M,69999
BMW,crossover,0,2.5,Diesel,yes,2016,X5,69999
BMW,crossover,1,2,Petrol,yes,2016,X5,69999
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLE-Class,69999
Audi,crossover,21,3,Petrol,yes,2015,A6 Allroad,69999
Volkswagen,van,1,5,Diesel,yes,2015,Multivan,69990
Volkswagen,van,1,2,Diesel,yes,2015,Multivan,69990
Mercedes-Benz,sedan,76,6,Petrol,yes,2010,S 65 AMG,69900
Mercedes-Benz,sedan,76,6,Petrol,yes,2010,S 500,69900
Mercedes-Benz,crossover,69,3,Diesel,yes,2014,GL 350,69900
Mercedes-Benz,crossover,84,3,Diesel,yes,2014,GL 350,69500
BMW,sedan,62,4.4,Petrol,yes,2013,750,69500
Mercedes-Benz,crossover,980,3,Diesel,yes,2013,GL 350,68700
Toyota,van,1,3.5,Petrol,yes,2016,Sienna,68500
Mercedes-Benz,crossover,68,3,Diesel,yes,2014,GL 350,68500
Audi,sedan,44,6.3,Petrol,yes,2012,A8,68500
BMW,sedan,43,4.4,Petrol,yes,2013,750,68500
Audi,crossover,20,3,Petrol,yes,2014,Q5,68000
Toyota,crossover,67,4.5,Diesel,yes,2012,Land Cruiser 200,68000
Volkswagen,crossover,0,3,Diesel,yes,2016,Touareg,67622.55
BMW,crossover,1,2.5,Diesel,yes,2016,X5,67500
BMW,crossover,1,2,Diesel,yes,2016,X5,67500
BMW,crossover,1,2,Diesel,yes,2016,X5,67500
BMW,crossover,0,2,Diesel,yes,2016,X5,67431
BMW,crossover,70,3,Diesel,yes,2014,X5,66900
BMW,crossover,0,2,Diesel,yes,2016,X5,66666
BMW,crossover,1,2,Diesel,yes,2016,X5,66500
BMW,crossover,0,2,Other,yes,2016,X5,66500
Volkswagen,crossover,0,3,Diesel,yes,2016,Touareg,66346
BMW,crossover,70,3,Diesel,yes,2014,X5,66200
BMW,crossover,1,2,Diesel,yes,2016,X5,65500
BMW,crossover,0,2,Diesel,yes,2016,X5,65393.25
BMW,crossover,0,2,Diesel,yes,2016,X5,65099
BMW,crossover,0,2.5,Diesel,yes,2016,X5,65000
BMW,crossover,58,4.4,Petrol,yes,2014,X5,65000
Volkswagen,crossover,24,NA,Other,yes,2015,Touareg,65000
Toyota,other,60,4.5,Diesel,yes,2013,Land Cruiser 200,65000
Toyota,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,65000
Mercedes-Benz,other,0,1.6,Petrol,yes,2016,C-Class,65000
BMW,sedan,15,3,Petrol,yes,2012,640,64999
BMW,crossover,73,3,Diesel,yes,2013,X6 M,64900
BMW,crossover,1,2,Diesel,yes,2016,X5,64500
Audi,other,41,NA,Other,yes,2014,A8,64400
Toyota,crossover,128,4.5,Diesel,yes,2013,Land Cruiser 200,64000
BMW,crossover,1,2,Diesel,yes,2016,X5,63500
BMW,crossover,33,3,Petrol,yes,2015,X5,63500
Toyota,other,33,4.5,Diesel,yes,2013,Land Cruiser 200,63333
Audi,sedan,0,2,Petrol,yes,2016,A6,63200
BMW,crossover,0,2,Diesel,yes,2015,X5,63000
Toyota,crossover,3,4.2,Diesel,yes,2013,Land Cruiser 76,63000
Mercedes-Benz,crossover,160,3,Diesel,yes,2013,GL 350,63000
Mercedes-Benz,crossover,86,5.5,Petrol,yes,2009,G 55 AMG,63000
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLC-Class,62999
BMW,crossover,1,2,Diesel,yes,2016,X5,62900
BMW,crossover,1,2,Diesel,yes,2016,X5,62000
Mercedes-Benz,crossover,150,3,Diesel,yes,2013,GL 350,62000
Audi,vagon,24,3,Diesel,yes,2015,A6 Allroad,62000
Toyota,crossover,68,4.5,Diesel,yes,2012,Land Cruiser 200,61990
Mercedes-Benz,crossover,16,3,Diesel,yes,2013,ML 350,61500
Mercedes-Benz,crossover,121,3,Diesel,yes,2013,GL 350,61500
Volkswagen,crossover,2,3,Diesel,yes,2016,Touareg,61000
Toyota,crossover,100,4.5,Diesel,yes,2013,Land Cruiser 200,61000
BMW,crossover,1,2,Diesel,yes,2016,X5,60500
BMW,sedan,110,3,Diesel,yes,2011,740,60500
Mercedes-Benz,crossover,140,5.5,Gas,yes,2008,G 55 AMG,60000
Mercedes-Benz,sedan,11,4.7,Petrol,yes,2012,CLS 500,59999
BMW,crossover,30,2,Diesel,yes,2016,X5,59900
Toyota,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,59900
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLC-Class,58999
BMW,crossover,80,3,Diesel,yes,2013,X5 M,58500
BMW,crossover,80,3,Diesel,yes,2013,X5,58500
Mercedes-Benz,crossover,128,3,Diesel,yes,2013,ML 350,58500
BMW,crossover,64,2,Diesel,yes,2015,X5,58000
BMW,other,40,4,Diesel,yes,2012,X6,57777
BMW,crossover,47,3,Diesel,yes,2014,X6,57000
BMW,other,20,3.5,Petrol,yes,2013,X6,57000
Mercedes-Benz,sedan,61,4.6,Petrol,yes,2012,S 500,57000
Mercedes-Benz,crossover,3,2.2,Diesel,yes,2015,ML 250,57000
Mercedes-Benz,sedan,43,4.7,Petrol,yes,2012,CLS 500,57000
Mercedes-Benz,other,0,1.6,Petrol,yes,2016,C-Class,57000
Mercedes-Benz,sedan,74,6.3,Petrol,yes,2010,S 63 AMG,56800
BMW,crossover,45,3,Diesel,yes,2014,X6,56500
BMW,crossover,1,2,Diesel,yes,2016,X5,56500
Audi,crossover,44,3,Diesel,yes,2014,Q7,56000
Volkswagen,van,50,2,Diesel,yes,2013,Multivan,55555
Volkswagen,van,50,2,Diesel,yes,2013,Multivan,55555
Volkswagen,van,53,2,Diesel,yes,2013,Multivan,55555
Volkswagen,van,53,2,Diesel,yes,2013,Multivan,55555
Volkswagen,van,63,2,Diesel,yes,2013,Multivan,55555
Volkswagen,van,63,2,Diesel,yes,2013,Multivan,55555
BMW,crossover,90,3,Diesel,yes,2013,X5 M,55500
Volkswagen,crossover,47,3,Diesel,yes,2016,Touareg,55500
Volkswagen,crossover,36,3,Diesel,yes,2015,Touareg,55500
Mercedes-Benz,sedan,34,2.2,Diesel,yes,2011,S 250,55000
Audi,crossover,100,6,Diesel,yes,2009,Q7,55000
Mercedes-Benz,crossover,40,4.6,Petrol,yes,2013,ML 500,55000
Mercedes-Benz,crossover,128,3,Diesel,yes,2013,ML 350,55000
Mercedes-Benz,crossover,120,5.5,Petrol,yes,2008,G 55 AMG,55000
Mercedes-Benz,crossover,127,5.5,Petrol,yes,2008,G 55 AMG,55000
Audi,hatch,24,2.8,Other,yes,2014,A7,55000
Audi,crossover,65,2.99,Diesel,yes,2013,A6 Allroad,55000
Mercedes-Benz,sedan,29,3,Diesel,yes,2012,CLS 350,54500
Toyota,crossover,147,4.5,Diesel,yes,2011,Land Cruiser 200,54000
BMW,sedan,80,2.99,Diesel,yes,2012,550,53999
Audi,crossover,67,3,Petrol,yes,2013,A6 Allroad,53700
Mercedes-Benz,crossover,46,5.5,Petrol,yes,2008,G 500,53500
Audi,crossover,112,4.2,Diesel,yes,2008,Q7,52999
Mercedes-Benz,sedan,60,3,Diesel,yes,2012,CLS 350,52777
Toyota,crossover,43,3,Other,yes,2014,Land Cruiser Prado,52500
Volkswagen,crossover,19,3,Diesel,yes,2014,Touareg,52300
BMW,sedan,55,3,Diesel,yes,2013,5 Series GT,52300
BMW,sedan,55,3,Diesel,yes,2013,530,52300
BMW,hatch,3,2,Diesel,yes,2016,4 Series Gran Coupe,52222
Audi,crossover,0,2,Diesel,yes,2016,Q5,52055.25
BMW,crossover,7,2,Diesel,yes,2015,X1,52000
Audi,other,124,3,Diesel,yes,2012,A8,52000
BMW,crossover,106,3,Diesel,yes,2012,X6,51900
Volkswagen,crossover,30,3,Diesel,yes,2015,Touareg,51900
Volkswagen,crossover,30,3,Diesel,yes,2015,Touareg,51900
Volkswagen,crossover,30,3,Diesel,yes,2015,Touareg,51900
BMW,crossover,23,3,Petrol,yes,2013,X6,51500
Audi,crossover,28,3,Diesel,yes,2014,Q7,51500
Audi,crossover,27,3,Diesel,yes,2013,Q7,51500
Toyota,crossover,70,3,Diesel,yes,2015,Land Cruiser Prado,51500
Mercedes-Benz,other,75,6.3,Petrol,yes,2009,CL 63 AMG,51500
BMW,hatch,77,3,Petrol,yes,2012,535,51500
Mercedes-Benz,sedan,119,4.7,Petrol,yes,2012,S 500,51000
Audi,crossover,44,3,Diesel,yes,2014,Q7,51000
BMW,sedan,97,3,Diesel,yes,2011,730,51000
Mercedes-Benz,crossover,85,3,Diesel,yes,2013,ML 350,50900
Mercedes-Benz,crossover,30,3.5,Diesel,yes,2013,ML 350,50800
BMW,sedan,128,3,Diesel,yes,2013,730,50499
Mercedes-Benz,sedan,0,2.2,Diesel,yes,2015,E-Class,50250
Mercedes-Benz,sedan,240,3.5,Petrol,yes,2006,S 350,50000
Volkswagen,van,59,2,Diesel,yes,2014,Multivan,49999
Audi,other,79,4.2,Petrol,yes,2007,R8,49900
BMW,other,82,3,Petrol,yes,2012,640,49900
Audi,crossover,80,3,Diesel,yes,2013,Q7,49700
Volkswagen,crossover,80,3,Diesel,yes,2014,Touareg,49500
Audi,crossover,44,3,Diesel,yes,2013,Q7,49500
Mercedes-Benz,crossover,52,3,Diesel,yes,2013,ML 350,49500
BMW,vagon,56,5,Petrol,yes,2007,M5,49000
BMW,sedan,58,4.4,Other,yes,2011,750,49000
BMW,crossover,60,3,Diesel,yes,2011,X3,48900
Audi,other,82,4.2,Petrol,yes,2007,R8,48900
BMW,other,147,4,Diesel,yes,2012,X5,48550
BMW,crossover,0,2,Diesel,yes,2016,X3,48535.5
Audi,crossover,75,3,Diesel,yes,2013,Q7,48000
Audi,crossover,90,3,Diesel,yes,2013,Q7,48000
Audi,crossover,126,3,Diesel,yes,2013,Q7,48000
Toyota,crossover,59,3,Diesel,yes,2014,Land Cruiser Prado,48000
BMW,crossover,178,4,Diesel,yes,2012,X5,47900
BMW,crossover,142,3,Other,yes,2011,X6,47777
Volkswagen,sedan,91,3,Diesel,yes,2012,Phaeton,47777
Toyota,crossover,810,4.7,Gas,yes,2010,Land Cruiser 200,47700
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,Vito,47600
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,Vito,47600
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,Vito,47600
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,Vito,47600
Toyota,crossover,45,3,Diesel,yes,2014,Land Cruiser Prado,47500
Toyota,crossover,45,3,Diesel,yes,2014,Land Cruiser Prado,47500
BMW,sedan,0,2,Diesel,yes,2016,320,47500
BMW,crossover,10,2,Diesel,yes,2016,X3,47300
Mercedes-Benz,sedan,121,3,Diesel,yes,2012,S 350,47300
BMW,other,5,2,Petrol,yes,2014,Z4,47000
BMW,other,5,2,Petrol,yes,2014,Z4,47000
Audi,crossover,64,3,Diesel,yes,2013,Q7,47000
Mercedes-Benz,sedan,0,1.6,Petrol,yes,2016,C-Class,47000
Mercedes-Benz,other,10,2.2,Diesel,yes,2012,E-Class,46900
BMW,sedan,33,2,Diesel,yes,2014,520,46800
Mercedes-Benz,sedan,115,5.5,Petrol,yes,2011,S 500,46700
Toyota,other,4,3,Diesel,yes,2016,Hilux,46500
Mercedes-Benz,crossover,127,5,Petrol,yes,2008,G 500,46500
Mitsubishi,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,46000
Audi,sedan,170,4.2,Diesel,yes,2011,A8,46000
BMW,sedan,5,2,Petrol,yes,2016,520,46000
Mercedes-Benz,sedan,42,3,Diesel,yes,2011,S 350,45555
BMW,crossover,76,4.4,Petrol,yes,2010,X6 M,45500
Toyota,crossover,45,3.5,Petrol,yes,2015,Highlander,45500
Toyota,crossover,65,4,Gas,yes,2010,FJ Cruiser,45500
BMW,other,26,2,Diesel,yes,2015,520,45500
BMW,sedan,42,2,Diesel,yes,2014,520,45500
BMW,crossover,68,3,Diesel,yes,2012,X5,45200
BMW,crossover,80,3,Petrol,yes,2011,X6,45000
Volkswagen,sedan,90,3,Diesel,yes,2011,Phaeton,45000
Toyota,crossover,80,4,Petrol,yes,2013,Land Cruiser Prado,45000
Mercedes-Benz,sedan,1,1.6,Petrol,yes,2015,C-Class,45000
BMW,sedan,110,NA,Other,yes,2012,535,45000
BMW,sedan,29,2,Diesel,yes,2016,520,45000
BMW,crossover,87,3,Diesel,yes,2011,X6,44999
Audi,crossover,95,3,Diesel,yes,2014,Q7,44800
Audi,crossover,100,3,Diesel,yes,2014,Q7,44800
BMW,sedan,63,4.4,Petrol,yes,2012,750,44800
Toyota,crossover,120,3.5,Petrol,yes,2013,Venza,44700
Volkswagen,van,120,3.5,Petrol,yes,2013,Sharan,44700
Volkswagen,crossover,60,3,Diesel,yes,2013,Touareg,44600
BMW,crossover,80,3,Diesel,yes,2012,X5,44000
Volkswagen,crossover,150,4.2,Diesel,yes,2011,Touareg,44000
Mercedes-Benz,other,39,5.5,Petrol,yes,2009,SL 55 AMG,44000
Mercedes-Benz,other,82,5.5,Petrol,yes,2010,S 500,44000
Audi,hatch,1,1.4,Petrol,yes,2016,A5,44000
Mercedes-Benz,sedan,132,3,Diesel,yes,2010,S 350,43999
Toyota,other,0,2.8,Diesel,yes,2016,Hilux,43999
Toyota,other,1,2.8,Diesel,yes,2016,Hilux,43999
Mercedes-Benz,crossover,89,3,Diesel,yes,2012,ML 350,43900
BMW,crossover,0,2,Petrol,yes,2016,X3,43719
Mercedes-Benz,sedan,59,4.6,Petrol,yes,2011,S 500,43500
Mercedes-Benz,other,51,3,Diesel,yes,2014,E-Class,43500
Mercedes-Benz,other,51,3,Diesel,yes,2014,E-Class,43500
Mercedes-Benz,other,51,3,Diesel,yes,2014,E-Class,43500
BMW,crossover,0,2,Diesel,yes,2016,X1,43163.25
Audi,crossover,1,2,Petrol,yes,2016,Q3,43000
Audi,other,11,1.8,Petrol,yes,2015,A6,43000
Audi,crossover,140,3,Diesel,yes,2013,Q7,42900
Toyota,crossover,51,3,Diesel,yes,2013,Land Cruiser Prado,42900
Mercedes-Benz,hatch,3,NA,Other,yes,2016,B-Class Electric Drive,42900
BMW,sedan,2,2,Petrol,yes,2016,520,42900
BMW,sedan,2,2,Petrol,yes,2016,520,42900
Audi,crossover,75,3,Diesel,yes,2013,Q7,42700
BMW,crossover,29,3,Petrol,yes,2011,X3,42500
Volkswagen,crossover,63,3,Diesel,yes,2014,Touareg,42500
Mercedes-Benz,sedan,100,5.5,Petrol,yes,2011,S 500,42500
Mercedes-Benz,sedan,140,5.5,Petrol,yes,2011,S 500,42500
Mercedes-Benz,sedan,110,3,Diesel,yes,2011,S 350,42500
Toyota,crossover,50,3,Diesel,yes,2012,Land Cruiser Prado,42500
BMW,crossover,128,4.4,Petrol,yes,2011,X5 M,42000
BMW,crossover,33,2,Petrol,yes,2014,X3,42000
Mercedes-Benz,sedan,38,2.2,Diesel,yes,2014,CLA 220,42000
Toyota,crossover,97,4,Petrol,yes,2010,4Runner,42000
BMW,sedan,59,4.4,Petrol,yes,2009,750,42000
BMW,sedan,71,2.99,Petrol,yes,2011,535,42000
BMW,sedan,5,2,Petrol,yes,2016,520,42000
Mercedes-Benz,sedan,95,6.3,Petrol,yes,2011,S 63 AMG,41900
Mercedes-Benz,sedan,95,6.3,Other,yes,2011,S 550,41900
Mercedes-Benz,sedan,95,6.2,Petrol,yes,2011,S 500,41900
Toyota,crossover,89,4.5,Diesel,yes,2012,Land Cruiser 200,41900
Toyota,van,0,2.5,Diesel,yes,2016,Hiace,41900
BMW,crossover,176,3,Diesel,yes,2012,X5,41500
BMW,vagon,42,2,Petrol,yes,2012,X3,41500
Mercedes-Benz,other,26,NA,Diesel,yes,2013,E-Class,41500
BMW,crossover,80,3,Petrol,yes,2012,X6,41000
BMW,crossover,80,3,Petrol,yes,2012,X6,41000
